State,Residential electricity rates
Alabama,14.91 ¢/kWh
Alaska,22.38 ¢/kWh
Arizona,15.2 ¢/kWh
Arkansas,11.74 ¢/kWh
California,30.55 ¢/kWh
Colorado,15.16 ¢/kWh
Connecticut,28.16 ¢/kWh
DC,16.5 ¢/kWh
Delaware,16.68 ¢/kWh
Florida,14.2 ¢/kWh
Georgia,13.49 ¢/kWh
Hawaii,42.34 ¢/kWh
Idaho,10.97 ¢/kWh
Illinois,15.99 ¢/kWh
Indiana,14.42 ¢/kWh
Iowa,12.43 ¢/kWh
Kansas,13.85 ¢/kWh
Kentucky,13.28 ¢/kWh
Louisiana,11.7 ¢/kWh
Maine,26.29 ¢/kWh
Maryland,18.15 ¢/kWh
Massachusetts,31.22 ¢/kWh
Michigan,18.41 ¢/kWh
Minnesota,14.05 ¢/kWh
Mississippi,13.44 ¢/kWh
Missouri,11.57 ¢/kWh
Montana,11.87 ¢/kWh
Nebraska,10.78 ¢/kWh
Nevada,14.88 ¢/kWh
New Hampshire,23.62 ¢/kWh
New Jersey,19.49 ¢/kWh
New Mexico,14.26 ¢/kWh
New York,24.37 ¢/kWh
North Carolina,13.49 ¢/kWh
North Dakota,10.21 ¢/kWh
Ohio,15.98 ¢/kWh
Oklahoma,11.52 ¢/kWh
Oregon,14.12 ¢/kWh
Pennsylvania,17.6 ¢/kWh
Rhode Island,25.31 ¢/kWh
South Carolina,13.87 ¢/kWh
South Dakota,12.42 ¢/kWh
Tennessee,13.04 ¢/kWh
Texas,15.32 ¢/kWh
Utah,11.02 ¢/kWh
Vermont,22.29 ¢/kWh
Virginia,14.46 ¢/kWh
Washington,11.83 ¢/kWh
West Virginia,14.51 ¢/kWh
Wisconsin,16.31 ¢/kWh
Wyoming,11.78 ¢/kWh
United States,16.26 ¢/kWh